# Time-averaged data for fix CPR
# TimeStep c_VIR[1] c_VIR[2] c_VIR[3] c_VIR[4] c_VIR[5] c_VIR[6]
276 -299.653 -309.587 -266.64 22.5663 -36.6323 -14.2484
277 -300.283 -310.037 -267.347 21.9541 -37.3392 -14.6235
278 -300.866 -310.452 -268.035 21.3474 -38.0461 -15.0086
279 -301.387 -310.811 -268.669 20.7174 -38.7187 -15.3675
280 -301.934 -311.135 -269.293 20.0982 -39.3968 -15.6976
281 -302.419 -311.418 -269.877 19.4403 -40.0619 -16.0102
282 -302.835 -311.681 -270.428 18.799 -40.7314 -16.3155
283 -303.268 -311.907 -270.919 18.1574 -41.4024 -16.5967
284 -303.615 -312.058 -271.407 17.4949 -42.0476 -16.8678
285 -303.955 -312.186 -271.866 16.8294 -42.6879 -17.1115
286 -304.265 -312.295 -272.251 16.1579 -43.3148 -17.3359
287 -304.547 -312.345 -272.676 15.4996 -43.9277 -17.5338
288 -304.779 -312.386 -273.018 14.8292 -44.528 -17.7126
289 -304.983 -312.332 -273.302 14.1642 -45.1055 -17.869
290 -305.151 -312.245 -273.545 13.4774 -45.6918 -17.9936
291 -305.311 -312.14 -273.749 12.8058 -46.2604 -18.111
292 -305.436 -312.002 -273.914 12.1211 -46.821 -18.1834
293 -305.518 -311.795 -274.054 11.4402 -47.3767 -18.2445
294 -305.556 -311.556 -274.197 10.7345 -47.8959 -18.282
295 -305.569 -311.292 -274.285 10.0444 -48.4349 -18.3033
296 -305.564 -310.974 -274.292 9.34506 -48.962 -18.2921
297 -305.52 -310.632 -274.303 8.64609 -49.466 -18.2868
298 -305.447 -310.234 -274.269 7.94956 -49.9584 -18.2263
299 -305.343 -309.811 -274.174 7.25381 -50.4373 -18.1508
300 -305.222 -309.421 -274.09 6.55005 -50.9006 -18.0413
301 -305.111 -308.979 -273.953 5.8439 -51.3454 -17.9242
302 -304.899 -308.453 -273.755 5.12876 -51.7876 -17.7847
303 -304.691 -307.892 -273.551 4.41149 -52.2216 -17.6252
304 -304.46 -307.344 -273.308 3.68322 -52.6424 -17.4509
305 -304.224 -306.751 -273.06 2.94765 -53.0578 -17.2531
306 -303.949 -306.111 -272.754 2.24367 -53.4475 -17.0222
307 -303.6 -305.446 -272.434 1.53464 -53.8341 -16.7677
308 -303.261 -304.757 -272.07 0.809684 -54.2035 -16.4971
309 -302.936 -304.07 -271.705 0.0936206 -54.5668 -16.1917
310 -302.587 -303.346 -271.306 -0.622887 -54.9064 -15.8664
311 -302.197 -302.625 -270.874 -1.33966 -55.2325 -15.536
312 -301.801 -301.874 -270.399 -2.06399 -55.5384 -15.1768
313 -301.346 -301.072 -269.947 -2.79196 -55.8552 -14.7906
314 -300.902 -300.278 -269.454 -3.52411 -56.1471 -14.3907
315 -300.412 -299.431 -268.936 -4.24432 -56.4417 -13.962
316 -299.917 -298.613 -268.389 -4.93839 -56.6887 -13.5021
317 -299.409 -297.726 -267.816 -5.64642 -56.9453 -13.033
318 -298.865 -296.826 -267.241 -6.35566 -57.1923 -12.5439
319 -298.305 -295.938 -266.64 -7.05512 -57.4248 -12.0241
320 -297.744 -295.006 -266.019 -7.76385 -57.6564 -11.5106
321 -297.168 -294.047 -265.366 -8.4797 -57.8884 -10.9611
322 -296.585 -293.126 -264.734 -9.19762 -58.1042 -10.4039
323 -295.996 -292.165 -264.06 -9.90769 -58.3169 -9.82317
324 -295.404 -291.229 -263.403 -10.5998 -58.5077 -9.22213
325 -294.771 -290.25 -262.727 -11.313 -58.6848 -8.60664
326 -294.137 -289.278 -262.059 -12.0057 -58.8471 -7.9727
327 -293.518 -288.298 -261.36 -12.6978 -58.9741 -7.31647
328 -292.849 -287.339 -260.649 -13.3815 -59.122 -6.64252
329 -292.18 -286.33 -259.941 -14.0794 -59.2664 -5.95964
330 -291.503 -285.326 -259.22 -14.751 -59.3625 -5.25316
331 -290.82 -284.306 -258.491 -15.4284 -59.4786 -4.53664
332 -290.13 -283.31 -257.777 -16.0792 -59.5813 -3.79446
333 -289.432 -282.32 -257.031 -16.7337 -59.6713 -3.04965
334 -288.744 -281.349 -256.295 -17.3949 -59.7632 -2.29824
335 -288.03 -280.385 -255.54 -18.0457 -59.8265 -1.53619
336 -287.325 -279.403 -254.82 -18.674 -59.916 -0.766717
337 -286.612 -278.435 -254.073 -19.2958 -59.9858 0.0331047
338 -285.909 -277.462 -253.353 -19.9118 -60.0345 0.847196
339 -285.178 -276.502 -252.663 -20.5248 -60.0746 1.64789
340 -284.468 -275.577 -251.945 -21.1227 -60.1071 2.47132
341 -283.739 -274.624 -251.255 -21.7201 -60.1174 3.30758
342 -283.053 -273.707 -250.532 -22.2891 -60.1327 4.17676
343 -282.342 -272.801 -249.85 -22.8621 -60.1279 5.02302
344 -281.614 -271.87 -249.17 -23.4403 -60.1244 5.88229
345 -280.911 -271.032 -248.538 -24.0023 -60.0928 6.73796
346 -280.241 -270.22 -247.904 -24.5381 -60.0678 7.62447
347 -279.575 -269.414 -247.281 -25.0815 -60.0338 8.52432
348 -278.894 -268.602 -246.669 -25.5882 -60.0066 9.4241
349 -278.247 -267.791 -246.047 -26.087 -59.9575 10.321
350 -277.585 -267.045 -245.475 -26.585 -59.9058 11.2002
351 -276.963 -266.328 -244.934 -27.0743 -59.8337 12.0977
352 -276.33 -265.606 -244.372 -27.5504 -59.748 13.0027
353 -275.705 -264.893 -243.807 -28.0259 -59.6625 13.905
354 -275.093 -264.245 -243.293 -28.4774 -59.5828 14.8118
355 -274.494 -263.599 -242.795 -28.9099 -59.4921 15.7249
356 -273.922 -262.987 -242.331 -29.3375 -59.3896 16.6267
357 -273.335 -262.394 -241.855 -29.7459 -59.2834 17.4992
358 -272.814 -261.831 -241.443 -30.1532 -59.1637 18.3827
359 -272.318 -261.307 -241.026 -30.5375 -59.0287 19.2747
360 -271.842 -260.836 -240.66 -30.9223 -58.8929 20.1641
361 -271.359 -260.38 -240.267 -31.2782 -58.7539 21.0526
362 -270.894 -259.924 -239.9 -31.6208 -58.6047 21.9278
363 -270.439 -259.552 -239.577 -31.9544 -58.4511 22.8078
364 -270.024 -259.194 -239.3 -32.2906 -58.2974 23.6915
365 -269.591 -258.83 -239.014 -32.6033 -58.1335 24.554
366 -269.2 -258.543 -238.754 -32.9054 -57.9676 25.4018
367 -268.853 -258.31 -238.56 -33.1902 -57.7904 26.2435
368 -268.568 -258.064 -238.402 -33.4601 -57.6082 27.092
369 -268.265 -257.871 -238.232 -33.7293 -57.4209 27.9162
370 -267.95 -257.708 -238.07 -33.9724 -57.2097 28.7363
371 -267.695 -257.565 -237.936 -34.2151 -57.01 29.5342
372 -267.488 -257.5 -237.857 -34.4406 -56.7949 30.3361
373 -267.239 -257.427 -237.816 -34.6525 -56.5678 31.1074
374 -267.052 -257.374 -237.741 -34.8712 -56.3479 31.8688
375 -266.863 -257.386 -237.735 -35.0809 -56.127 32.6372
376 -266.728 -257.431 -237.786 -35.2667 -55.8974 33.3886
377 -266.636 -257.523 -237.848 -35.4653 -55.6702 34.1217
378 -266.551 -257.622 -237.937 -35.6231 -55.441 34.8248
379 -266.489 -257.784 -238.093 -35.799 -55.1978 35.5093
380 -266.457 -257.974 -238.242 -35.9608 -54.9545 36.1885
381 -266.464 -258.189 -238.421 -36.1184 -54.6796 36.8565
382 -266.5 -258.464 -238.643 -36.2581 -54.4113 37.5099
383 -266.569 -258.779 -238.895 -36.397 -54.1396 38.1457
384 -266.651 -259.101 -239.187 -36.5224 -53.8917 38.7606
385 -266.772 -259.447 -239.478 -36.6383 -53.618 39.372
386 -266.922 -259.81 -239.791 -36.7607 -53.3361 39.9363
387 -267.101 -260.252 -240.161 -36.8647 -53.0453 40.4894
388 -267.307 -260.708 -240.567 -36.9568 -52.751 41.0267
389 -267.538 -261.215 -241.007 -37.0599 -52.4426 41.5497
390 -267.809 -261.755 -241.473 -37.1597 -52.1312 42.0438
391 -268.143 -262.348 -241.94 -37.2476 -51.824 42.5143
392 -268.449 -262.903 -242.434 -37.331 -51.5044 42.9838
393 -268.768 -263.503 -242.945 -37.4054 -51.1995 43.4223
394 -269.137 -264.125 -243.498 -37.4919 -50.8484 43.829
395 -269.546 -264.794 -244.088 -37.5818 -50.5088 44.2199
396 -269.97 -265.466 -244.698 -37.6577 -50.1661 44.5935
397 -270.45 -266.168 -245.352 -37.7288 -49.8256 44.95
398 -270.917 -266.89 -246.035 -37.7851 -49.4811 45.2742
399 -271.438 -267.645 -246.738 -37.8444 -49.1232 45.5933
400 -271.959 -268.42 -247.431 -37.9177 -48.7654 45.8906
401 -272.511 -269.238 -248.164 -37.9819 -48.4047 46.1487
402 -273.083 -270.093 -248.941 -38.0493 -48.0334 46.4029
403 -273.698 -270.957 -249.743 -38.1089 -47.6504 46.6198
404 -274.324 -271.821 -250.547 -38.1789 -47.2704 46.7938
405 -274.962 -272.701 -251.386 -38.2585 -46.89 46.9811
406 -275.631 -273.594 -252.231 -38.3287 -46.5017 47.1424
407 -276.346 -274.537 -253.11 -38.4065 -46.1009 47.2711
